2556.26	69.64	8.04	0.272	2555.11	71.43	10.71	0.337
282.24	95.58	34.26	0.56	280.86	97.02	76.91	0.853
3901.61	13.66	1.74	0.062	3897.42	15.41	4.36	0.085
6961.58	16.07	6.59	0.097	6943.32	17.55	6.79	0.102
3303.25	34.02	7.38	0.167	3241.75	34.43	11.07	0.192
2084.17	11.86	0.4	0.044	2078.45	12.45	0.4	0.048
12728.79	19.23	0.0	0.055	12584.27	21.15	1.92	0.065
10259.0	37.5	20.83	0.267	10193.85	37.5	20.83	0.267
8.67	66.67	0.0	0.199	8.5	66.67	0.0	0.199
4990.97	28.95	11.4	0.177	4948.66	28.95	11.84	0.181
15.27	97.44	17.95	0.503	14.96	97.44	17.95	0.535
